2018-10-26 10:55:47,233; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 11:26:42,250; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 11:29:38,754; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 11:29:58,894; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 11:29:58,894; github; DEBUG;	__main__.py;       	 Namespace(action=['browse_my_repos'], https=False, url_only=False)
2018-10-26 11:29:58,894; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 11:30:09,096; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 11:30:09,096; github; DEBUG;	__main__.py;       	 Namespace(action=['list_my_repost'], https=False, url_only=False)
2018-10-26 11:30:09,096; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 11:55:35,325; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 11:55:35,325; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repos'], https=False, url_only=False)
2018-10-26 11:55:35,325; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 11:55:53,219; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 11:55:53,219; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repos', 'another_flag'], https=False, url_only=False)
2018-10-26 11:55:53,219; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 13:52:15,972; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 13:52:16,012; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 13:52:16,012; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 13:52:16,012; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 13:52:56,842; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 13:52:56,842; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 13:52:56,842; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 13:52:56,842; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 13:54:08,329; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 13:54:08,329; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 13:54:08,329; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 13:54:08,329; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 13:55:14,403; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 13:55:14,403; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 13:55:14,403; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 13:55:14,413; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 13:56:22,385; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 13:56:22,385; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 13:56:22,395; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 13:56:22,395; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 13:57:10,708; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 13:57:10,708; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 13:57:10,708; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 13:57:10,708; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 13:58:35,813; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 13:58:35,813; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 13:58:35,813; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 13:58:35,823; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 13:58:57,603; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 13:58:57,609; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 13:58:57,614; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 13:58:57,615; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:00:15,805; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:00:15,805; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:00:15,805; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:00:15,805; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:00:58,977; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:00:58,977; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:00:58,977; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:00:58,977; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:01:37,998; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:01:37,998; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:01:37,998; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:01:37,998; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:05:33,426; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:05:33,436; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:05:33,436; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:05:33,436; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:06:10,955; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:06:10,955; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:06:10,955; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:06:10,955; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:07:39,526; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:07:39,536; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:07:39,536; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:07:39,536; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:08:10,956; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:08:10,956; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:08:10,956; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:08:10,956; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:08:40,575; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:08:40,575; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:08:40,575; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:08:40,575; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:13:37,768; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:13:37,768; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:13:37,768; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:13:37,768; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:14:35,973; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
